"YEAR","ADULTS","SPAWNERS","PDO.MJJ","SPR","Spawners","MEI.OND","UWI.JAS","SST.AMJ","SSH.AMJ","UWI.SON","SST.J"
1970,5.21003245168046,204.7,-0.247,117,5.32154549266724,0.355,34.699,11.974,-38.467,-34.01,10.236
1971,6.03140615420093,198.9,-0.33025,78,5.29280218585993,-1.305,41.414,10.884,-153.033,-31.811,8.621
1972,5.22305488204749,129.2,-0.49775,106,4.8613615913485,-1.59,28.958,11.685,-71.833,-16.047,8.384
1973,5.45958551414416,51.2,-0.82425,107,3.93573953204546,1.44,33.791,11.854,-64.733,-8.15,9.438
1974,5.28015339592037,65.6,-1.08175,80,4.18357569595004,-1.8,41.151,12.245,-157.533,-19.501,9.273
1975,5.33945930987921,24.1,-1.045,102,3.18221184049661,-1.37,33.195,10.935,-77.833,-8.792,9.469
1976,6.11301824266056,37.8,-0.81825,83,3.63230910262554,-2.095,38.461,10.826,-154.433,-38.994,9.038
1977,5.08264583007253,28.1,-0.52425,103,3.3357695763397,0.495,22.623,10.688,-116,-7.941,9.77
1978,4.71492104994721,34.8,-0.25575,74,3.54961738678043,0.745,30.152,11.203,-139.733,-34.772,11.288
1979,5.2406882537114,39.2,-0.21575,97,3.66867674679642,-0.15,16.884,11.579,-90.367,-5.59,8.699
1980,4.68490515400694,13.7,0.17425,73,2.61739583283408,0.38,24.025,11.22,-94.833,-58.734,10.515
1981,5.16192474164248,18.2,0.33675,78,2.90142159408275,0.03,48.084,12.06,-67.033,-42.722,11.787
1982,5.22413246835866,38.4,0.61675,88,3.64805745959368,-0.16,28.803,12.155,-84,-54.105,9.862
1983,4.56434819146784,25.6,0.5675,109,3.24259235148552,2.105,28.851,10.981,-70.733,-42.966,11.141
1984,4.55071400019203,30.1,1.03175,126,3.40452517175483,-0.43,26.438,12.136,-6.433,-46.615,10.673
1985,4.82751341713153,68.3,1.03925,112,4.22390976657674,-0.365,38.115,11.427,-64.2,-52.444,9.996
1986,4.73858083194803,19.4,0.78675,48,2.96527306606928,-0.02,36.911,10.953,-80.833,-12.172,10.042
1987,4.35463518458941,59.7,1.1375,89,4.08933202039856,0.61,38.461,11.509,-81.867,-19.717,10.598
1988,5.02716227342182,66.3,0.88075,81,4.19418989719182,0.99,36.069,11.426,-79.567,-34.078,9.892
1989,4.7437900399067,57.2,0.9875,68,4.04655389838575,-1.575,42.693,11.487,-61.467,-20.229,9.41
1990,4.12316708992018,25.3,1.0215,97,3.23080439573347,-0.445,35.529,11.618,-63.433,-4.817,9.969
1991,4.43242103743563,45.7,0.8315,81,3.82209829790016,0.03,42.943,12.01,-61.6,-12.078,8.924
1992,4.67786662811615,40.7,0.27575,99,3.70622809244855,1.13,39.484,10.924,-107.467,-2.079,10.117
1993,4.31715293176918,16.789,0.4525,123,2.82072391005426,0.77,36.754,12.723,-26.767,-24.992,9.364
1994,3.71244335433834,33.76,0.8825,161,3.51927666972776,0.825,40.857,13.244,63.4,0.138,11.037
1995,3.86788393402797,44.669,0.9325,87,3.79927974872437,1.23,39.043,11.448,-59.567,-13.294,10.575
1996,4.16805528125506,49.156,1.47575,95,3.89499891442235,-0.66,27.53,11.193,-59.367,-25.285,11.661
1997,2.80027945973922,41.706,1.4215,120,3.7306450033464,-0.305,56.803,11.439,-41.633,-4.701,10.759
1998,3.11071091880315,50.143,1.4315,146,3.91487892340934,2.035,10.175,12.101,-8.3,-55.941,12.263
1999,3.6449605728321,69.235,1.374,105,4.23750651510668,-1.255,49.683,11.376,-34.4,-43.258,9.543
2000,4.07194103589851,15.247,0.784,91,2.72438276238977,-1.32,51,10.67,-103.467,-34.176,10
2001,5.05349345422362,21.54,0.35075,72,3.06991167172824,-0.73,35.778,11.355,-46.767,-26.833,10.16
2002,5.50592058639181,34.696,-0.40075,61,3.54662440653306,-0.285,47.077,10.679,-116.133,-38.189,10.073
2003,5.42634652121115,61.035,-0.5965,80,4.11144747012176,0.775,50.485,10.105,-137.933,-25.902,10.955
2004,5.11796137416609,143.101,-0.16575,112,4.96355067465818,0.275,55.476,11.077,-52.067,-26.352,10.3
2005,4.98573938342556,236.441,0.04325,110,5.46569870535003,0.425,26.994,11.862,-50.6,4.343,10.207
2006,4.73006591348389,213.333,0.524,145,5.36285432518439,-0.73,51.751,12.545,-13,-9.006,11.459
2007,4.17412559258419,154.136,0.78725,112,5.03783532957846,0.79,53.571,11.153,-23.067,-14.097,9.843
2008,5.06953870151191,139.874,0.64075,74,4.94074201736614,-1.135,27.525,10.617,-109.767,-9.88,8.919
2009,5.57218255914729,104.692,0.1625,89,4.65102270617018,-1.085,32.706,9.623,-98.667,-10.657,9.369
2010,5.545917517433,57.315,-0.28825,82,4.04856236956697,0.805,24.325,10.452,-80.767,-47.079,10.756
2011,5.87781019777821,156.078,-0.49825,100,5.05035588229119,-2.11,34.211,11.681,-32.633,-32.894,10.123
2012,4.58692644089543,245.386,-0.80575,100,5.50283248093466,-1.29,29.332,10.695,-29.733,-26.298,9.179
2013,4.86862758891581,244.661,-0.745,121,5.49987357891525,-0.145,53.552,11.02,-17.3,-29.898,9.892
2014,5.97409098118705,335.962,-0.76425,100,5.81699805832936,-0.17,35.3,10.66,-88.8,-7.807,9.061
2015,4.17980132326955,80.223,-0.43325,101,4.38481025680047,0.205,41.257,11.17,-11.567,-40.109,12.304
2016,4.30846615780957,110.751,0.19175,92,4.70728443822985,1.995,40.406,10.276,-97.967,-7.854,10.998
2017,4.21888986729476,337.682,0.96525,85,5.82210462422382,-0.555,47.98,11.582,-108.5,-68.233,9.932
2018,4.35149010461223,52.413,1.27525,116,3.95915465216042,-0.63,46.089,11.187,-49.767,-36.184,10.998
2019,4.63297016084577,67.86,1.0135,107,4.21744675935608,0.335,41.064,10.825,-104.6,-12.37,11.137
2020,4.68522827815867,60.075,0.89425,103,4.09559378162253,0.36,20.066,10.472,-86.567,4.074,10.522
2021,5.52679466809285,67.817,0.39425,140,4.21681290098009,-1.175,25.564,11.401,-71.267,-18.892,10.29
2022,5.20405064215471,87.705,-0.08575,80,4.47397891029574,-1.435,40.845,10.97,-123.167,-64.066,10.225
2023,NA,100.21,-0.6,84,4.60726798407024,-1.64,33.834,11.471,-90.3,-6.614,10.56
